State,Seasonal n,Seasonal %,Seasonal CI,2009 H1N1 n,2009 H1N1 %,2009 H1N1 CI,Location 1
Rhode Island,821,63.7,±3.9,823,62.9,±3.9,"Rhode Island
(41.70828019300046, -71.52247031399963)"
Texas,898,44.9,±4.1,909,40.4,±4.0,"Texas
(31.827240407000488, -99.42677020599967)"
New York,1587,50.5,±3.1,1617,38.4,±3.0,"New York
(42.82700103200045, -75.54397042699964)"
Lousianna,540,39.6,±5.2,546,28.8,±4.8,Lousianna
Nebraska,1198,65.4,±3.2,1207,56.5,±3.3,"Nebraska
(41.6410409880005, -99.36572062299967)"
Oklahoma,1432,49.1,±4.4,1453,33,±4.2,"Oklahoma
(35.47203135600046, -97.52107021399968)"
Maine,709,64,±4.0,709,58.5,±4.1,"Maine
(45.254228894000505, -68.98503133599962)"
New Jersey,1053,36.8,±3.2,1073,32.2,±3.0,"New Jersey
(40.13057004800049, -74.27369128799967)"
Missouri,973,42.8,±3.7,983,38.2,±3.6,"Missouri
(38.635790776000476, -92.56630005299968)"
Hawaii,974,50.3,±4.0,987,44.9,±4.0,"Hawaii
(21.304850435000446, -157.85774940299973)"
Ohio,829,42.7,±4.5,833,40.4,±4.5,"Ohio
(40.06021014100048, -82.40426005599966)"
Wyoming,617,55.6,±4.6,628,52.4,±4.6,"Wyoming
(43.23554134300048, -108.10983035299967)"
Vermont,742,66.3,±3.4,744,63.3,±3.5,"Vermont
(43.62538123900049, -72.51764079099962)"
Massachusetts,996,67.5,±4.0,996,57.6,±4.2,"Massachusetts
(42.27687047000046, -72.08269067499964)"
Washington,1052,53.3,±4.0,1054,51.4,±4.0,"Washington
(47.52227862900048, -120.47001078999972)"
Arkansas,1055,46.7,±4.1,1063,39.2,±3.9,"Arkansas
(34.74865012400045, -92.27449074299966)"
Maryland,1080,46.1,±4.5,1086,41,±4.5,"Maryland
(39.29058096400047, -76.60926011099963)"
Michigan,1000,44.7,±3.6,1009,37.6,±3.5,"Michigan
(44.6613195430005, -84.71439026999968)"
Georgia,614,29.9,±5.6,617,28.4,±5.6,"Georgia
(32.83968109300048, -83.62758034599966)"
Florida,927,26.1,±3.3,924,28.7,±3.5,"Florida
(28.932040377000476, -81.92896053899966)"
Illinois,1071,47.1,±3.2,1079,37.7,±3.1,"Illinois
(40.48501028300046, -88.99771017799969)"
Utah,1124,57.8,±3.2,1139,47.2,±3.2,"Utah
(39.360700171000474, -111.58713063499971)"
Mississippi,862,37.2,±4.0,866,21.9,±3.4,"Mississippi
(32.745510099000455, -89.53803082499968)"
Tennessee,650,41.2,±5.1,659,29.9,±4.4,"Tennessee
(35.68094058000048, -85.77449091399967)"
West Virginia,1121,44.2,±3.6,1129,36.4,±3.5,"West Virginia
(38.66551020200046, -80.71264013499967)"
South Carolina,676,45.3,±6.5,684,40.3,±6.4,"South Carolina
(33.998821303000454, -81.04537120699968)"
Colorado,1317,52.8,±3.8,1316,44.2,±3.8,"Colorado
(38.843840757000464, -106.13361092099967)"
Minnesota,917,67.9,±3.3,919,52.5,±3.5,"Minnesota
(46.35564873600049, -94.79420050299967)"
Virginia,318,51.2,±7.3,320,41.3,±7.1,"Virginia
(37.54268067400045, -78.45789046299967)"
